日期,代码,名称,涨跌幅%,"主力净流入(亿,新浪口径)","特大单净(亿,新浪口径)","10:30主力净(亿,分笔重构)","10:30特大单净(亿,分笔重构)","全天主力净(亿,分笔重构)","全天特大单净(亿,分笔重构)",所属板块(通达信),板块涨跌%
2026-07-10,600584,长电科技,-2.33,11.33,11.22,15.77,15.78,5.12,5.0,半导体,-6.28
2026-07-13,600584,长电科技,-2.04,-8.26,-8.52,-0.89,-0.99,-11.06,-11.33,半导体,-4.64
2026-07-14,600584,长电科技,3.69,-9.22,-10.21,-4.99,-5.01,-9.52,-10.51,半导体,0.88
2026-07-15,600584,长电科技,-9.97,-39.87,-41.28,-11.42,-11.74,-29.15,-30.63,半导体,-5.53
2026-07-16,600584,长电科技,-10.0,-19.01,-15.73,-5.03,-4.92,-5.1,-7.02,半导体,-5.45
2026-07-17,600584,长电科技,2.74,8.97,9.08,-0.67,-0.5,8.24,8.41,半导体,-8.0
2026-06-05,001309,德明利,-7.4,-16.08,-16.44,-3.49,-3.72,-13.22,-13.69,半导体,-4.28
2026-06-08,001309,德明利,-6.72,2.92,3.11,1.69,1.65,-0.73,-0.37,半导体,-4.46
2026-06-09,001309,德明利,6.4,-1.16,-0.57,-1.04,-0.96,-0.75,-0.01,半导体,5.48
2026-06-10,001309,德明利,0.35,0.6,0.89,0.44,0.53,0.57,0.95,半导体,-0.55
2026-06-11,001309,德明利,0.7,1.81,2.49,-1.01,-0.88,-1.05,-0.36,半导体,1.38
2026-06-12,001309,德明利,-2.36,-7.85,-8.49,-3.26,-3.08,-0.28,-1.21,半导体,-1.17
2026-06-15,001309,德明利,3.96,3.25,2.49,-1.41,-1.67,2.56,1.8,半导体,6.05
2026-06-16,001309,德明利,2.15,2.81,3.13,-3.21,-3.07,3.0,3.35,半导体,1.12
2026-06-17,001309,德明利,8.23,16.46,16.34,0.39,0.44,16.34,16.34,半导体,5.26
2026-06-18,001309,德明利,0.34,-7.14,-7.41,-6.48,-6.47,-5.25,-5.49,半导体,4.02
2026-06-22,001309,德明利,3.52,5.17,4.35,-2.99,-3.08,3.37,2.62,半导体,2.34
2026-06-23,001309,德明利,2.43,6.81,7.3,-2.22,-2.32,8.16,8.43,半导体,-1.13
2026-06-24,001309,德明利,7.28,20.07,19.31,5.9,5.8,18.43,17.49,半导体,5.08
