code,name,board,issue_price,latest,first_close,apply_date,list_date,issue_pe,industry_pe,first_close_gt_latest,latest_vs_first_close_pct,first_close_vs_issue_pct,latest_vs_issue_pct,list_year
300475,香农芯创,非科创板,8.8,262.04,12.67,2015-06-02,2015-06-10,13.33,40.77,False,1968.1925808997632,43.97727272727272,2877.7272727272725,2015
300470,中密控股,非科创板,34.6,31.08,49.82,2015-06-02,2015-06-12,21.84,86.43,True,-37.61541549578483,43.98843930635839,-10.173410404624283,2015
300464,星徽股份,非科创板,10.2,7.04,14.69,2015-06-02,2015-06-10,22.67,63.82,True,-52.07624234172907,44.01960784313725,-30.980392156862735,2015
002765,蓝黛科技,非科创板,7.67,7.19,11.04,2015-06-02,2015-06-12,22.98,24.37,True,-34.873188405797094,43.937418513689686,-6.2581486310299805,2015
002763,汇洁股份,非科创板,13.1,7.04,18.86,2015-06-02,2015-06-10,21.72,41.61,True,-62.67232237539766,43.96946564885496,-46.25954198473282,2015
002762,金发拉比,非科创板,26.0,8.57,37.44,2015-06-02,2015-06-10,18.71,41.56,True,-77.11004273504274,43.99999999999999,-67.03846153846153,2015
002761,浙江建投,非科创板,7.28,6.75,10.48,2015-06-02,2015-06-10,22.75,67.49,True,-35.591603053435115,43.956043956043956,-7.280219780219788,2015
603026,石大胜华,非科创板,6.51,94.8,9.37,2015-05-21,2015-05-29,32.55,52.93,False,911.7395944503736,43.93241167434716,1356.221198156682,2015
603918,金桥信息,非科创板,9.5,9.67,13.68,2015-05-20,2015-05-28,22.99,143.54,True,-29.312865497076025,43.99999999999999,1.7894736842105186,2015
603901,永创智能,非科创板,15.81,11.19,22.77,2015-05-20,2015-05-29,22.91,74.68,True,-50.856389986824766,44.02277039848197,-29.22201138519924,2015
603669,灵康药业,非科创板,11.7,6.06,16.85,2015-05-20,2015-05-28,22.98,58.33,True,-64.03560830860535,44.01709401709404,-48.2051282051282,2015
603568,伟明环保,非科创板,11.27,15.6,16.23,2015-05-20,2015-05-28,22.97,76.06,True,-3.8817005545286554,44.01064773735581,38.42058562555457,2015
603300,海南华铁,非科创板,8.22,4.61,11.84,2015-05-20,2015-05-29,22.98,63.45,True,-61.064189189189186,44.038929440389275,-43.91727493917274,2015
603198,迎驾贡酒,非科创板,11.8,30.41,16.99,2015-05-20,2015-05-28,19.4,23.21,False,78.98763978811067,43.98305084745759,157.71186440677965,2015
300465,高伟达,非科创板,11.26,11.1,16.21,2015-05-20,2015-05-28,22.93,143.54,True,-31.523750771128935,43.96092362344584,-1.4209591474245165,2015
603885,吉祥航空,非科创板,11.18,10.54,16.1,2015-05-19,2015-05-27,22.98,36.44,True,-34.534161490683246,44.00715563506263,-5.724508050089449,2015
603598,引力传媒,非科创板,7.2,18.65,10.37,2015-05-19,2015-05-27,22.96,67.55,False,79.84570877531341,44.02777777777776,159.02777777777777,2015
603108,润达医疗,非科创板,17.0,9.3,24.48,2015-05-19,2015-05-27,22.97,53.78,True,-62.00980392156863,43.99999999999999,-45.29411764705882,2015
603023,威帝股份,非科创板,13.25,3.77,19.08,2015-05-19,2015-05-27,14.46,71.8,True,-80.24109014675051,43.99999999999999,-71.54716981132076,2015
300468,四方精创,非科创板,18.76,20.84,27.01,2015-05-19,2015-05-27,22.98,143.05,True,-22.84339133654203,43.97654584221748,11.087420042643913,2015
300467,迅游科技,非科创板,33.75,34.0,48.6,2015-05-19,2015-05-27,22.99,213.83,True,-30.041152263374492,43.99999999999999,0.7407407407407307,2015
300466,赛摩智能,非科创板,10.25,7.18,14.76,2015-05-19,2015-05-28,22.99,85.18,True,-51.355013550135496,43.99999999999999,-29.951219512195127,2015
300463,迈克生物,非科创板,27.96,8.54,40.26,2015-05-19,2015-05-28,22.99,58.36,True,-78.78787878787878,43.99141630901286,-69.45636623748213,2015
300462,ST华铭,非科创板,14.25,10.16,20.52,2015-05-19,2015-05-27,22.97,72.91,True,-50.48732943469785,43.99999999999999,-28.701754385964907,2015
002759,天际股份,非科创板,12.02,26.25,17.31,2015-05-19,2015-05-28,20.16,41.85,False,51.64644714038129,44.0099833610649,118.38602329450919,2015
002758,浙农股份,非科创板,18.04,7.91,25.98,2015-05-19,2015-05-27,22.98,53.78,True,-69.5535026943803,44.01330376940133,-56.1529933481153,2015
002757,南兴股份,非科创板,12.94,18.36,18.63,2015-05-19,2015-05-27,22.98,72.91,True,-1.449275362318836,43.97217928902628,41.88562596599692,2015
300461,田中精机,非科创板,7.92,39.93,11.4,2015-05-11,2015-05-19,22.98,62.54,False,250.26315789473682,43.939393939393945,404.1666666666667,2015
603989,艾华集团,非科创板,20.74,47.63,29.87,2015-05-07,2015-05-15,22.99,72.69,False,59.45764981586876,44.02121504339442,129.6528447444552,2015
603968,醋化股份,非科创板,19.58,9.53,28.2,2015-05-07,2015-05-18,22.98,54.39,True,-66.20567375886526,44.024514811031665,-51.327885597548516,2015
603566,普莱柯,非科创板,15.52,10.33,22.35,2015-05-07,2015-05-18,18.89,59.6,True,-53.780760626398205,44.00773195876291,-33.44072164948453,2015
603311,金海高科,非科创板,5.39,33.18,7.76,2015-05-07,2015-05-18,22.99,59.17,False,327.57731958762884,43.970315398886825,515.5844155844156,2015
002753,永东股份,非科创板,13.56,5.83,19.53,2015-05-07,2015-05-19,22.99,54.18,True,-70.14848950332822,44.02654867256637,-57.00589970501475,2015
603718,*ST海利,非科创板,6.81,2.91,9.81,2015-05-06,2015-05-15,21.28,59.27,True,-70.33639143730888,44.05286343612336,-57.268722466960355,2015
603227,雪峰科技,非科创板,4.98,7.2,7.17,2015-05-06,2015-05-15,22.95,54.18,False,0.4184100418409997,43.97590361445782,44.57831325301205,2015
603022,新通联,非科创板,14.31,8.14,20.61,2015-05-06,2015-05-18,22.98,80.31,True,-60.504609412906355,44.025157232704395,-43.116701607267636,2015
300458,全志科技,非科创板,12.73,37.19,18.33,2015-05-06,2015-05-15,19.89,72.58,False,102.89143480632843,43.99057344854673,192.1445404556166,2015
300456,赛微电子,非科创板,14.01,42.81,20.17,2015-05-06,2015-05-14,22.98,71.92,False,112.24590976698066,43.968593861527495,205.56745182012853,2015
300455,航天智装,非科创板,6.88,21.03,9.91,2015-05-06,2015-05-15,18.11,71.92,False,112.20988900100907,44.0406976744186,205.66860465116284,2015
300453,三鑫医疗,非科创板,12.87,9.37,18.53,2015-05-06,2015-05-15,22.98,58.48,True,-49.43335132218025,43.978243978243995,-27.1950271950272,2015
300450,先导智能,非科创板,21.21,38.52,30.54,2015-05-06,2015-05-18,22.98,59.17,False,26.129666011787833,43.988684582743986,81.61244695898162,2015
002755,奥赛康,非科创板,7.49,14.59,10.79,2015-05-06,2015-05-15,20.49,26.6,False,35.21779425393885,44.058744993324424,94.79305740987982,2015
603599,广信股份,非科创板,16.11,9.89,23.2,2015-05-05,2015-05-13,20.62,53.66,True,-57.3706896551724,44.00993171942893,-38.60955927995033,2015
603355,莱克电气,非科创板,19.08,28.45,27.48,2015-05-05,2015-05-13,22.99,44.3,False,3.5298398835516664,44.025157232704416,49.10901467505242,2015
